fund_id,trustee_id,trustee_en,trustee_zh,scheme_id,scheme_en,scheme_zh,fund_type_id,fund_type_en,fund_type_zh,fund_name_en,fund_name_zh,class,launch_date
304,MNLF,Manulife,宏利,RC,Manulife RetireChoice (MPF) Scheme,宏利退休精選（強積金）計劃,MIX_DIS_65,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,混合資產基金 - 預設投資策略-65歲後基金,Allianz MPF Age 65 Plus Fund (No automatic de-risking features) - Class A,安聯強積金65歲後基金 - 單位A,A,2017-04-01
305,MNLF,Manulife,宏利,RC,Manulife RetireChoice (MPF) Scheme,宏利退休精選（強積金）計劃,MIX_DIS_65,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,混合資產基金 - 預設投資策略-65歲後基金,Allianz MPF Age 65 Plus Fund (No automatic de-risking features) - Class B,安聯強積金65歲後基金 - 單位A,B,2017-04-01
306,MNLF,Manulife,宏利,RC,Manulife RetireChoice (MPF) Scheme,宏利退休精選（強積金）計劃,MIX_DIS_65,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,混合資產基金 - 預設投資策略-65歲後基金,Allianz MPF Age 65 Plus Fund (No automatic de-risking features) - Class T,安聯強積金65歲後基金 - 單位A,T,2017-04-01
307,MNLF,Manulife,宏利,RC,Manulife RetireChoice (MPF) Scheme,宏利退休精選（強積金）計劃,MIX_DIS_CAF,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,混合資產基金 - 預設投資策略-核心累積基金,Allianz MPF Core Accumulation Fund - Class A,安聯強積金核心累積基金 - 單位A,A,2017-04-01
308,MNLF,Manulife,宏利,RC,Manulife RetireChoice (MPF) Scheme,宏利退休精選（強積金）計劃,MIX_DIS_CAF,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,混合資產基金 - 預設投資策略-核心累積基金,Allianz MPF Core Accumulation Fund - Class B,安聯強積金核心累積基金 - 單位B,B,2017-04-01
309,MNLF,Manulife,宏利,RC,Manulife RetireChoice (MPF) Scheme,宏利退休精選（強積金）計劃,MIX_DIS_CAF,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,混合資產基金 - 預設投資策略-核心累積基金,Allianz MPF Core Accumulation Fund - Class T,安聯強積金核心累積基金 - 單位T,T,2017-04-01
310,MNLF,Manulife,宏利,RC,Manulife RetireChoice (MPF) Scheme,宏利退休精選（強積金）計劃,MIX_DIS_CAF,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,混合資產基金 - 預設投資策略-核心累積基金,Allianz MPF Core Accumulation Fund (No automatic de-risking features) - Class A,安聯強積金核心累積基金 - 單位A,A,2017-04-01
311,MNLF,Manulife,宏利,RC,Manulife RetireChoice (MPF) Scheme,宏利退休精選（強積金）計劃,MIX_DIS_CAF,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,混合資產基金 - 預設投資策略-核心累積基金,Allianz MPF Core Accumulation Fund (No automatic de-risking features) - Class B,安聯強積金核心累積基金 - 單位A,B,2017-04-01
312,MNLF,Manulife,宏利,RC,Manulife RetireChoice (MPF) Scheme,宏利退休精選（強積金）計劃,MIX_DIS_CAF,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,混合資產基金 - 預設投資策略-核心累積基金,Allianz MPF Core Accumulation Fund (No automatic de-risking features) - Class T,安聯強積金核心累積基金 - 單位A,T,2017-04-01
313,MNLF,Manulife,宏利,GS,Manulife Global Select (MPF) Scheme,宏利環球精選（強積金）計劃,GUAR,Guaranteed Fund,保證基金,Manulife MPF Interest Fund,宏利 MPF 利息基金,,2000-12-01
