scheme,constituent_fund,mpf_trustee,fund_type,launch_date,fund_size_hkd_m,risk_class,latest_fer,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Hong Kong Equity Fund,BEA,Equity Fund - Hong Kong Equity Fund,04-01-2010,765.37,7,1.27899,34.21,16.63,-15.36,-24.51,-15.66
BEA (MPF) Industry Scheme,BEA (Industry Scheme) MPF Conservative Fund,BEA,Money Market Fund - MPF Conservative Fund,01-12-2000,"3,986.72",1,0.80767,1.92,3.41,3.42,0.35,0.01
BEA (MPF) Industry Scheme,BEA (Industry Scheme) RMB & HKD Money Market Fund,BEA,Money Market Fund - Other than MPF Conservative Fund,03-07-2012,256.40,3,0.79088,4.30,0.14,1.10,-4.05,2.56
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Stable Fund,BEA,Mixed Assets Fund - 21% to 40% Equity,01-12-2000,"3,023.39",4,1.31067,10.11,2.09,4.49,-15.95,-2.33
BEA (MPF) Industry Scheme,BEA China Tracker Fund,BEA,Equity Fund - China Equity Fund,31-01-2012,175.47,7,1.17257,24.59,29.45,-12.35,-16.54,-22.11
BEA (MPF) Industry Scheme,BEA Hong Kong Tracker Fund,BEA,Equity Fund - Hong Kong Equity Fund (Index Tracking),31-01-2012,205.52,7,0.58317,30.51,21.97,-10.92,-12.99,-12.36
BEA (MPF) Master Trust Scheme,BEA (MPF) Age 65 Plus Fund,BEA,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,"1,039.25",4,0.78021,5.95,3.42,7.59,-14.35,0.96
BEA (MPF) Master Trust Scheme,BEA (MPF) Asian Equity Fund,BEA,Equity Fund - Asia Equity Fund,01-09-2005,"1,524.02",5,1.31850,33.60,14.26,4.82,-24.86,-0.17
BEA (MPF) Master Trust Scheme,BEA (MPF) Balanced Fund,BEA,Mixed Assets Fund - 41% to 60% Equity,01-12-2000,"1,840.89",4,1.34166,14.72,5.31,5.18,-17.30,-0.66
BEA (MPF) Master Trust Scheme,BEA (MPF) Conservative Fund,BEA,Money Market Fund - MPF Conservative Fund,01-12-2000,"1,833.31",1,0.80857,1.94,3.38,3.40,0.35,-0.01
BEA (MPF) Master Trust Scheme,BEA (MPF) Core Accumulation Fund,BEA,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,"1,207.65",4,0.77948,12.45,11.35,14.64,-15.96,9.54
