scheme_tc,constituent_fund_tc,mpf_trustee_tc,fund_type_tc
恒生強積金智選計劃,均衡基金,HSBC,混合資產基金 - 61% 至 80% 股票
恒生強積金智選計劃,中國股票基金,HSBC,股票基金 - 中國股票基金
恒生強積金智選計劃,核心累積基金,HSBC,混合資產基金 - 預設投資策略-核心累積基金
恒生強積金智選計劃,歐洲股票基金,HSBC,股票基金 - 歐洲股票基金
恒生強積金智選計劃,環球債券基金,HSBC,債券基金 - 環球債券基金
恒生強積金智選計劃,環球股票基金,HSBC,股票基金 - 環球股票基金
恒生強積金智選計劃,增長基金,HSBC,混合資產基金 - 81% 至 100% 股票
恒生強積金智選計劃,保證基金,HSBC,保證基金
恒生強積金智選計劃,恒生中國企業指數基金,HSBC,股票基金 - 中國股票基金
恒生強積金智選計劃,恒指基金,HSBC,股票基金 - 香港股票基金（追蹤指數）
恒生強積金智選計劃,中港股票基金,HSBC,股票基金 - 香港股票基金
恒生強積金智選計劃,強積金保守基金,HSBC,貨幣市場基金 — 強積金保守基金
恒生強積金智選計劃,北美股票基金,HSBC,股票基金 - 美國股票基金
恒生強積金智選計劃,平穩基金,HSBC,混合資產基金 - 21% 至 40% 股票
恒生強積金智選計劃,智優逸亞太股票追蹤指數基金,HSBC,股票基金 - 亞洲股票基金
恒生強積金智選計劃,智優逸均衡基金,HSBC,混合資產基金 - 61% 至 80% 股票
恒生強積金智選計劃,智優逸歐洲股票追蹤指數基金,HSBC,股票基金 - 歐洲股票基金
恒生強積金智選計劃,智優逸北美股票追蹤指數基金,HSBC,股票基金 - 美國股票基金
滙豐強積金智選計劃,65歲後基金,HSBC,混合資產基金 - 預設投資策略-65歲後基金
滙豐強積金智選計劃,亞太股票基金,HSBC,股票基金 - 亞洲股票基金
滙豐強積金智選計劃,均衡基金,HSBC,混合資產基金 - 61% 至 80% 股票
滙豐強積金智選計劃,中國股票基金,HSBC,股票基金 - 中國股票基金
滙豐強積金智選計劃,核心累積基金,HSBC,混合資產基金 - 預設投資策略-核心累積基金
滙豐強積金智選計劃,歐洲股票基金,HSBC,股票基金 - 歐洲股票基金
滙豐強積金智選計劃,環球債券基金,HSBC,債券基金 - 環球債券基金
滙豐強積金智選計劃,環球股票基金,HSBC,股票基金 - 環球股票基金
滙豐強積金智選計劃,增長基金,HSBC,混合資產基金 - 81% 至 100% 股票
滙豐強積金智選計劃,保證基金,HSBC,保證基金
滙豐強積金智選計劃,恒生中國企業指數基金,HSBC,股票基金 - 中國股票基金
滙豐強積金智選計劃,恒指基金,HSBC,股票基金 - 香港股票基金（追蹤指數）
滙豐強積金智選計劃,中港股票基金,HSBC,股票基金 - 香港股票基金
滙豐強積金智選計劃,強積金保守基金,HSBC,貨幣市場基金 — 強積金保守基金
滙豐強積金智選計劃,北美股票基金,HSBC,股票基金 - 美國股票基金
滙豐強積金智選計劃,平穩基金,HSBC,混合資產基金 - 21% 至 40% 股票
滙豐強積金智選計劃,智優逸亞太股票追蹤指數基金,HSBC,股票基金 - 亞洲股票基金
滙豐強積金智選計劃,智優逸均衡基金,HSBC,混合資產基金 - 61% 至 80% 股票
